fed_sub,excess_deaths,iso_names,cas_apr06_2022,pop,per_100,per_100_bbc
Алтайский край,697,RU-ALT,16,2266739,30.749018744548888,0.7058598277084394
Амурская область,129,RU-AMU,7,771889,16.71224748636138,0.9068661426707726
Архангельская область,NA,RU-ARK,8,1068672,NA,0.7485926458258474
Астраханская область,65,RU-AST,15,989345,6.5700033860786675,1.5161546275566156
Белгородская область,359,RU-BEL,1,1530222,23.460648193530087,0.06534999496805038
Брянская область,261,RU-BRY,21,1167806,22.349602588101106,1.7982438863989394
Владимирская область,204,RU-VLA,8,1322166,15.429227494883396,0.6050677448973881
Волгоградская область,162,RU-VGG,48,2446461,6.62181003498523,1.9620177881437717
Вологодская область,44,RU-VLG,10,1138694,3.864075862347567,0.878199059624447
Воронежская область,302,RU-VOR,7,2285240,13.21524216274877,0.30631356006371324
Еврейская АО,40,RU-YEV,6,153712,26.02269178723847,3.903403768085771
Забайкальский край,247,RU-ZAB,15,1042993,23.681846378643,1.4381688084196154
Ивановская область,222,RU-IVA,11,976144,22.742546181710896,1.126882918913603
Иркутская область,711,RU-IRK,20,2356542,30.171327309252288,0.8487011901336788
Кабардино-Балкария,345,RU-KB,6,869735,39.667254968467404,0.6898653037994331
Калининградская область,278,RU-KGD,4,1026472,27.08305730696989,0.3896842777981279
Калужская область,210,RU-KLU,1,1019668,20.594938744767905,0.09807113687984716
Камчатский край,44,RU-KAM,2,312337,14.087347960696299,0.6403339982134681
Карачаево-Черкесия,224,RU-KC,4,463913,48.28491549062001,0.8622306337610716
Кемеровская область,314,RU-KEM,18,2603638,12.060048286282502,0.6913403476212899
Кировская область,397,RU-KIR,12,1234448,32.16012339118375,0.9720944098090807
Костромская область,41,RU-KOS,33,620658,6.605892456070816,5.3169378304960215
Краснодарский край,2654,RU-KDA,30,5681982,46.709053284575695,0.5279847771429054
Красноярский край,1092,RU-KYA,8,2846565,38.36202581005527,0.2810404821249471
Курганская область,135,RU-KGN,9,804769,16.775000031064813,1.118333335404321
Курская область,431,RU-KRS,8,1081905,39.837139120347906,0.7394364569902163
Ленинградская область,458,RU-LEN,12,1907590,24.009352114448074,0.629065994265015
Липецкая область,155,RU-LIP,4,1113584,13.91902182502622,0.35920056322648314
Магаданская область,19,RU-MAG,0,137529,13.815268052556187,0
Москва,2252,RU-MOW,0,12632409,17.827161865959216,0
Московская область,1659,RU-MOS,5,7765918,21.362574263596397,0.06438388867871125
Мурманская область,42,RU-MUR,4,724179,5.7996710757975585,0.5523496262664341
Ненецкий АО,11,RU-NEN,0,44483,24.72854798462334,0
Нижегородская область,330,RU-NIZ,23,3141015,10.5061580412701,0.7322473786339766
Новгородская область,0,RU-NGR,3,585247,0,0.5126040799867406
Новосибирская область,632,RU-NVS,16,2779375,22.738925118057118,0.57566899033056
Омская область,308,RU-OMS,22,1879242,16.389586865342515,1.170684776095894
Оренбургская область,85,RU-ORE,41,1921908,4.422688286848278,2.133296703067993
Орловская область,310,RU-ORL,8,713043,43.47563891658707,1.1219519720409568
Пензенская область,112,RU-PNZ,16,1272697,8.800209319264523,1.2571727598949316
Пермский край,139,RU-PER,22,2555042,5.440223683211469,0.8610425973428225
Приморский край,903,RU-PRI,5,1860429,48.53719222824413,0.2687552172106541
Псковская область,56,RU-PSK,19,612458,9.143484124625688,3.102253542283716
Республика Адыгея,398,RU-AD,1,468190,85.00822315726522,0.21358850039513871
Республика Алтай,52,RU-AL,2,221402,23.486689370466394,0.9033342065563996
Республика Башкортостан,0,RU-BA,33,4001052,0,0.8247830820494211
Республика Бурятия,422,RU-BU,52,981487,42.99598466408623,5.298083418323422
Республика Дагестан,808,RU-DA,93,3154677,25.612764793352852,2.948003868541851
Республика Ингушетия,89,RU-IN,13,523955,16.986191562252483,2.4811291045986774
Республика Калмыкия,62,RU-KL,3,267517,23.17609721998976,1.1214240590317626
Республика Карелия,243,RU-KR,6,602458,40.334761925312634,0.9959200475385837
Республика Коми,144,RU-KO,2,803208,17.928108285774048,0.24900150396908396
Республика Крым,673,UA-43,17,2423460,27.770212836192883,0.7014764015085868
Республика Марий Эл,117,RU-ME,5,670730,17.443680765732857,0.7454564429800367
Республика Мордовия,222,RU-MO,1,769142,28.863330828377595,0.13001500373143063
Республика Татарстан,132,RU-TA,27,3886640,3.3962497169791908,0.6946874421093798
Республика Тыва,0,RU-TY,15,332518,0,4.51103398913743
Республика Хакасия,152,RU-KK,3,528316,28.77065998379758,0.5678419733644259
Ростовская область,1514,RU-ROS,21,4149835,36.48337825479808,0.5060442162158255
Рязанская область,80,RU-RYA,22,1083834,7.381204132736193,2.0298311365024535
Самарская область,213,RU-SAM,17,3129410,6.806394815636175,0.5432333890413849
Санкт-Петербург,1134,RU-SPE,1,5376672,21.09111361079865,0.01859886561798823
Саратовская область,291,RU-SAR,23,2357476,12.343709967779098,0.9756196881749802
Сахалинская область,159,RU-SAK,2,484207,32.8371956621858,0.41304648631680246
Свердловская область,427,RU-SVE,15,4261084,10.020924253077386,0.3520231002252009
Севастополь,142,UA-40,NA,340735,41.674615170146886,NA
Северная Осетия,363,RU-SE,39,687674,52.78664018124867,5.671291920299445
Смоленская область,101,RU-SMO,1,908659,11.115280869941309,0.11005228584100306
Ставропольский край,898,RU-STA,21,2777531,32.33087227469289,0.7560671690072946
Тамбовская область,321,RU-TAM,4,979504,32.77168852807135,0.408369950505562
Тверская область,357,RU-TVE,6,1228698,29.055146179126197,0.48832178452312935
Томская область,86,RU-TOM,1,1068480,8.048817011081162,0.09359089547768794
Тульская область,370,RU-TUL,9,1430942,25.857092740306733,0.628956309899353
Тюменская область,NA,RU-TYU,13,3807658,NA,0.34141721761775873
Удмуртская Республика,32,RU-UD,12,1483539,2.1570042985051288,0.8088766119394232
Ульяновская область,172,RU-ULY,9,1202811,14.299835967579279,0.7482472308617064
Хабаровский край,263,RU-KHA,0,1298233,20.2583049421791,0
